N,q,q_b,eps_ref,nu,dA,cc_pct
32,0.05,0.010000000000000002,0.04,0.16786937369859636,3.1205671430259785,0.45496523200841876
32,0.05,0.010000000000000002,0.06,0.17229089272872505,4.667990842335382,0.45496523200841876
32,0.05,0.010000000000000002,0.08,0.17602349627426522,6.209898962017733,0.45496523200841876
32,0.05,0.010000000000000002,0.1,0.17952612912285235,7.746337268678795,0.45496523200841876
32,0.05,0.010000000000000002,0.12,0.18295322645443368,9.277392002672133,0.45496523200841876
32,0.1,0.020000000000000004,0.04,0.20516428041084903,2.968631488313356,0.45615068959234567
32,0.1,0.020000000000000004,0.06,0.2100332986628082,4.440814607493629,0.45615068959234567
32,0.1,0.020000000000000004,0.08,0.2139167264301309,5.910221829978343,0.45615068959234567
32,0.1,0.020000000000000004,0.1,0.21744528610915198,7.376944083692854,0.45615068959234567
32,0.1,0.020000000000000004,0.12,0.22083110033346526,8.841082900361155,0.45615068959234567
32,0.15,0.030000000000000006,0.04,0.23897968632676675,2.8308242403305983,0.45618879917356814
32,0.15,0.030000000000000006,0.06,0.2442382735667295,4.234780921998103,0.45618879917356814
32,0.15,0.030000000000000006,0.08,0.2482727977146604,5.638247250110453,0.45618879917356814
32,0.15,0.030000000000000006,0.1,0.2518508084539701,7.041350524511975,0.45618879917356814
32,0.15,0.030000000000000006,0.12,0.2552306134347043,8.444216819001443,0.45618879917356814
32,0.2,0.04000000000000001,0.04,0.2697750455098152,2.705254992972255,0.455472140999861
32,0.2,0.04000000000000001,0.06,0.27538179111378897,4.047063509702692,0.455472140999861
32,0.2,0.04000000000000001,0.08,0.2795664507224883,5.39029118202717,0.455472140999861
32,0.2,0.04000000000000001,0.1,0.28321145491585165,6.7351006229320785,0.455472140999861
32,0.2,0.04000000000000001,0.12,0.2866123039855324,8.08164796101128,0.455472140999861
32,0.3,0.06000000000000001,0.04,0.3238030299208295,2.484857451182452,0.4521948886026008
32,0.3,0.06000000000000001,0.06,0.3299964029912139,3.7175881663663866,0.4521948886026008
32,0.3,0.06000000000000001,0.08,0.33447454568195345,4.95470696504716,0.4521948886026008
32,0.3,0.06000000000000001,0.1,0.33828894785964775,6.196421477182962,0.4521948886026008
32,0.3,0.06000000000000001,0.12,0.3417892054051429,7.442955783664028,0.4521948886026008
32,0.5,0.10000000000000002,0.04,0.40906245538787844,2.1367655400638315,0.44178649211038934
32,0.5,0.10000000000000002,0.06,0.4161228067321771,3.1972696930737077,0.44178649211038934
32,0.5,0.10000000000000002,0.08,0.4211474946164685,4.265786630988871,0.44178649211038934
32,0.5,0.10000000000000002,0.1,0.42536847215662865,5.34260200046253,0.44178649211038934
32,0.5,0.10000000000000002,0.12,0.4291929139982433,6.42807315462243,0.44178649211038934
32,0.75,0.15000000000000002,0.04,0.48696696338288586,1.8183602253616094,0.42625822105545164
32,0.75,0.15000000000000002,0.06,0.4947579888550313,2.7214158493627285,0.42625822105545164
32,0.75,0.15000000000000002,0.08,0.5003789442544555,3.634573057846568,0.42625822105545164
32,0.75,0.15000000000000002,0.1,0.5051272725178518,4.558253167874852,0.42625822105545164
32,0.75,0.15000000000000002,0.12,0.5094346979384362,5.492942924078859,0.42625822105545164
32,1.0,0.20000000000000004,0.04,0.5445995866083978,1.5825838568632344,0.4108638690392144
32,1.0,0.20000000000000004,0.06,0.552917641374207,2.3689837263313365,0.4108638690392144
32,1.0,0.20000000000000004,0.08,0.5590437151545613,3.1663252068621617,0.4108638690392144
32,1.0,0.20000000000000004,0.1,0.5642825996023063,3.975100481382062,0.4108638690392144
32,1.0,0.20000000000000004,0.12,0.569067446490053,4.795885213574602,0.4108638690392144
32,1.5,0.30000000000000004,0.04,0.6241597216690604,1.2568164444587167,0.3838203896898494
32,1.5,0.30000000000000004,0.06,0.6332061243309826,1.8817912850005487,0.3838203896898494
32,1.5,0.30000000000000004,0.08,0.6401261555557494,2.5179284026318762,0.3838203896898494
32,1.5,0.30000000000000004,0.1,0.6461897011952313,3.165701410816094,0.3838203896898494
32,1.5,0.30000000000000004,0.12,0.6518098367790666,3.8257762251296894,0.3838203896898494
32,2.0,0.4000000000000001,0.04,0.6765195229192964,1.042257397988393,0.36202855648859317
32,2.0,0.4000000000000001,0.06,0.6860204082889848,1.56090661095776,0.36202855648859317
32,2.0,0.4000000000000001,0.08,0.6935283905612044,2.090139977461911,0.36202855648859317
32,2.0,0.4000000000000001,0.1,0.7002323512086175,2.630458845329526,0.36202855648859317
32,2.0,0.4000000000000001,0.12,0.7065190211399833,3.1825527200359347,0.36202855648859317
32,3.0,0.6000000000000001,0.04,0.7412132688664743,0.777004854145572,0.322789108864818
32,3.0,0.6000000000000001,0.06,0.7512700260898686,1.1640638993670742,0.322789108864818
32,3.0,0.6000000000000001,0.08,0.7595830064428054,1.5602613412257558,0.322789108864818
32,3.0,0.6000000000000001,0.1,0.7671930291259611,1.9661005059092704,0.322789108864818
32,3.0,0.6000000000000001,0.12,0.7744410995116988,2.382217682870345,0.322789108864818
32,5.0,1.0000000000000002,0.04,0.8050703661729489,0.5150189560413815,0.22492409287229817
32,5.0,1.0000000000000002,0.06,0.8157119615882622,0.7718234574279957,0.22492409287229817
32,5.0,1.0000000000000002,0.08,0.8249008621569212,1.0354885501584838,0.22492409287229817
32,5.0,1.0000000000000002,0.1,0.8335160708601104,1.3063505164358316,0.22492409287229817
32,5.0,1.0000000000000002,0.12,0.841841667282657,1.5848959285593631,0.22492409287229817
32,7.5,1.5000000000000002,0.04,0.8422708326257567,0.36231606627137614,0.16281461482825785
32,7.5,1.5000000000000002,0.06,0.8532294560901389,0.5430427442648441,0.16281461482825785
32,7.5,1.5000000000000002,0.08,0.8629654962589848,0.7289380107659912,0.16281461482825785
32,7.5,1.5000000000000002,0.1,0.8722264602221835,0.9202755407123168,0.16281461482825785
32,7.5,1.5000000000000002,0.12,0.8812529210871576,1.117415043292847,0.16281461482825785
32,10.0,2.0000000000000004,0.04,0.8624371119571985,0.27943986755537853,0.12752247600108704
32,10.0,2.0000000000000004,0.06,0.8735756868640133,0.4188779551155257,0.12752247600108704
32,10.0,2.0000000000000004,0.08,0.8836223534275456,0.5624386941868719,0.12752247600108704
32,10.0,2.0000000000000004,0.1,0.8932514674763251,0.7103520251071853,0.12752247600108704
